frame,cap_ms,pnp_ms,upload_ms,swap_ms,found,t_x,t_y,t_z,r_x,r_y,r_z,reproj_mean,reproj_median,reproj_max
128,4930.119,4930.119,4948.974,4950.603,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
129,4965.470,4965.470,4984.288,4988.582,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
130,4996.626,4996.626,5016.207,5017.906,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
131,5030.963,5030.963,5049.862,5051.491,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
132,5067.859,5067.859,5088.099,5089.553,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
133,5097.327,5097.327,5117.576,5121.822,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
134,5132.245,5132.245,5153.519,5155.751,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
135,5167.165,5167.165,5187.904,5189.503,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
136,5196.873,5196.873,5217.636,5221.880,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
137,5231.613,5231.613,5252.631,5255.283,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
138,5266.168,5266.168,5290.338,5291.956,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
139,5299.819,5299.819,5323.959,5325.587,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
140,5332.247,5332.247,5357.074,5358.656,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
141,5367.447,5367.447,5392.440,5394.041,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
142,5400.520,5400.520,5427.073,5428.752,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
